Prod Code,Product,MRP,Opening,Adjustment,Purchase,Pur Return,Sale,Schem,Combo,Issue,Deliver Recipt,Production,Stock Rsv,Stock Trans,Expiry,Total
441,PAPER NAPIN,70,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
442,JOHNSONS BABY CARE COLLECTION LUXURY,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,HIMALAYA PURIFYING NEEM PACK NORMAL TO OILY SKIN 100GM,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,PARK AVENUE DEO DIVE 135ML,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,PARK AVENUE DEO NEO SPRAY 100GM,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,CRYSTAL PIZZA CUTTER,105,1,0,0,0,0,0,0,0,0,0,0,0,0,1
448,CRYSTAL PEELER CUM SCRAPER,65,9,0,0,0,0,0,0,0,0,0,0,0,0,9
450,CRYSTAL ELETRONIC GAS LIGHTER,160,1,0,0,0,0,0,0,0,0,0,0,0,0,1
451,CRYSTAL MULTI-PURPOSE KNIFE,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1
453,CRYSTAL BOTTLE CUM CAN OPENER,105,2,0,0,0,0,0,0,0,0,0,0,0,0,2
458,EVEREADY HOME LITE DIGI LED VALUE PACK,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,CRYSTAL LEMON SQUEEZER,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2
461,CRYSTAL SERVING TONG,125,1,0,0,0,0,0,0,0,0,0,0,0,0,1
462,EVEREADY LED BULB 250 LUMENS 2.5W,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,BAYGON ALL INSECT KILLER 1LTR,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,ALLOUT FLASH GUARD,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,MORTEIN CHOTU INSTA 5 WORKS IN 5 MINUTES 25ML,49,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
470,MORTEIN ALL INSECT KILLER INSTA KILLS MOSQUITO KILER 200ML,85,1,0,0,0,0,0,0,0,0,0,0,0,0,1
473,ALLOUT MULTI INSECT KILLER 425ML,176,1,0,0,0,0,0,0,0,0,0,0,0,0,1
474,ALLOUT ANTI DENGUE COIL 10N,24,5,0,0,0,0,0,0,0,0,0,0,0,0,5
479,BAYGON ALL INSECT KILLER 250ML,87,2,0,0,0,0,0,0,0,0,0,0,0,0,2
481,MORTEIN POWERGARD ALL INSECT KILLER 225ML,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,MORTEIN NATURE GUARD COCKROACH KILLER 425ML,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,HIT KILLS HIDDEN COCKROACHES 400ML,182,1,0,0,0,0,0,0,0,0,0,0,0,0,1
